plateaus,transitions
1075.7283950617284,1206.458064516129
1052.797619047619,1149.5193548387097
928.2098765432099,959.1322580645161
898.297619047619,942.5275080906149
940.6385542168674,916.1974110032362
813.6867469879518,944.4694533762058
838.2142857142857,905.5598705501618
788.3928571428571,889.7026143790849
870.4457831325301,994.4733333333334
888.8414634146342,1011.485049833887
909.9759036144578,927.3973509933775
853.4024390243902,920.6807817589577
819.8607594936709,868.7175324675325
819.9878048780488,875.4006622516556
899.289156626506,951.2649006622516
828.219512195122,901.5728476821192
889.2560975609756,936.0863787375415
891.425,954.7788778877888
832.35,910.9
829.4050632911392,905.6854304635762
1021.3132530120482,1014.4115755627009
896.2261904761905,1012.8996763754045
929.5119047619048,976.4595469255663
879.452380952381,1008.0814332247558
1083.621951219512,1089.3215434083602
996.9047619047619,1092.7915309446255
788.8311688311688,871.6912751677852
784.5194805194806,854.4795918367347
989.8048780487804,1091.549019607843
979.7380952380952,1071.4774193548387
862.8860759493671,919.927868852459
834.716049382716,877.8983606557377
940.0357142857143,971.5774193548388
818.3536585365854,996.6950819672131
835.0246913580247,908.6026058631921
863.9876543209876,936.8770764119602
837.3734939759037,900.5704918032787
788.6341463414634,893.8986928104575
1028.275,1158.6262626262626
990.0602409638554,1129.1447368421052
1099.357142857143,1038.1883116883116
895.6904761904761,1032.6472491909385
772.2345679012345,813.7443365695793
675.5584415584416,849.0431893687708
962.4578313253012,984.672131147541
895.7710843373494,974.294701986755
978.7261904761905,995.6483870967742
936.829268292683,1076.201923076923
807.6309523809524,883.4752475247525
816.5555555555555,900.1650165016501
1228.6144578313254,1370.9614147909967
1228.987951807229,1380.3344051446945
